epoch;accuracy;loss;precision;recall;val_accuracy;val_loss;val_precision;val_recall
0;0.9931988716125488;0.027233311906456947;0.9762351512908936;0.933015763759613;0.9986751079559326;0.01759633794426918;0.9982933402061462;0.9975190758705139
1;0.9985769391059875;0.012582137249410152;0.9993483424186707;0.9967347979545593;0.9990283846855164;0.00795090664178133;0.9993586540222168;0.9977333545684814
2;0.9988517761230469;0.011508402414619923;0.9991071224212646;0.9974580407142639;0.9990578293800354;0.01547976117581129;1.0;0.9975630044937134
3;0.9990186095237732;0.008184901438653469;0.9992396235466003;0.9978264570236206;0.9990872740745544;0.013630091212689877;0.9995745420455933;0.9976512789726257
4;0.9991363883018494;0.007893102243542671;0.9995282888412476;0.9985939860343933;0.9988223314285278;0.01392733957618475;0.9999412894248962;0.9970863461494446
5;0.9992148876190186;0.007568614091724157;0.9995331168174744;0.998179018497467;0.997703492641449;0.03400946035981178;0.9947319626808167;0.9979337453842163
6;0.999430775642395;0.006975457072257996;0.9995309710502625;0.9991027116775513;0.9987634420394897;0.030775707215070724;0.9981996417045593;0.9978829622268677
7;0.9995289444923401;0.009246851317584515;0.999609112739563;0.9991405606269836;0.9990283846855164;0.008896008133888245;0.9998655319213867;0.9975992441177368
8;0.9994503855705261;0.010115385055541992;0.9997147917747498;0.998796284198761;0.9990283846855164;0.022247666493058205;0.9998156428337097;0.997553825378418
9;0.9995092749595642;0.0031271707266569138;0.99967360496521;0.9989050626754761;0.9990283846855164;0.01935003139078617;0.9996168613433838;0.9977055788040161
